Prog,Lit,Exact,Time
149,~a_9,"[0,9908-0,9944]",14.43
150,a_1,"[1,0000-1,0000]",14.15
150,a_5,"[0,9994-1,0000]",14.04
150,~a_8,"[0,0000-0,1433]",14.14
151,~d_16,"[0,9606-1,0000]",19.95
151,~a_9,"[0,8185-0,9293]",19.98
152,~d_11,"[1,0000-1,0000]",13.55
152,a_5,"[1,0000-1,0000]",13.95
152,~a_8,"[0,0000-0,0015]",14.13
153,a_4,"[1,0000-1,0000]",48.52
153,~a_5,"[1,0000-1,0000]",48.83
153,~a_9,"[0,0000-0,0000]",53.25
154,a_8,"[0,8188-0,8189]",15.12
155,a_4,"[1,0000-1,0000]",30.86
156,a_3,"[1,0000-1,0000]",22.40
156,a_5,"[1,0000-1,0000]",22.21
156,a_8,"[0,9759-0,9798]",23.37
157,a_6,"[0,8579-1,0000]",18.93
157,a_8,"[0,0940-0,2361]",19.18
159,d_16,"[1,0000-1,0000]",22.32
160,d_9,"[1,0000-1,0000]",18.88
161,d_15,"[1,0000-1,0000]",41.23
161,a_7,"[0,8212-0,8828]",41.31
163,d_11,"[1,0000-1,0000]",77.23
163,a_8,"[0,8498-0,9386]",76.27
163,~a_8,"[0,0614-0,1502]",76.55
164,~a_0,"[1,0000-1,0000]",7.05
165,d_10,"[1,0000-1,0000]",27.64
165,a_8,"[1,0000-1,0000]",28.12
165,a_7,"[0,9904-1,0000]",27.92
167,d_15,"[0,8728-1,0000]",34.98
167,~a_8,"[0,9963-1,0000]",36.12
168,d_11,"[1,0000-1,0000]",6.35
168,a_8,"[0,9584-0,9963]",6.74
168,~a_7,"[0,9820-0,9820]",7.42
169,~a_0,"[1,0000-1,0000]",5.05
169,a_8,"[0,0092-0,0092]",5.07
169,~a_8,"[0,9908-0,9908]",5.25
170,d_15,"[1,0000-1,0000]",8.90
170,~a_5,"[0,9144-1,0000]",8.78
171,~d_11,"[1,0000-1,0000]",12.14
172,~a_3,"[1,0000-1,0000]",6.12
173,d_9,"[0,9806-1,0000]",20.78
174,d_12,"[1,0000-1,0000]",25.11
174,a_8,"[0,1076-0,1076]",25.99
175,a_4,"[1,0000-1,0000]",22.74
176,~a_2,"[1,0000-1,0000]",23.49
177,~d_16,"[0,9545-1,0000]",24.32
177,a_5,"[0,8357-1,0000]",24.06
177,~a_7,"[0,7855-0,9498]",24.88
178,~a_2,"[1,0000-1,0000]",13.81
179,a_3,"[1,0000-1,0000]",26.58
179,a_5,"[1,0000-1,0000]",26.84
179,a_8,"[0,9263-1,0000]",26.85
180,~a_3,"[1,0000-1,0000]",13.42
180,a_6,"[1,0000-1,0000]",13.41
180,a_8,"[0,0009-0,0009]",13.92
181,d_16,"[1,0000-1,0000]",8.08
181,a_5,"[1,0000-1,0000]",7.67
181,~a_8,"[0,9100-0,9100]",8.12
182,~a_6,"[0,8509-1,0000]",12.49
183,d_15,"[1,0000-1,0000]",17.99
183,a_7,"[0,9905-0,9999]",18.26
184,a_3,"[1,0000-1,0000]",3.46
184,a_6,"[0,9825-1,0000]",3.54
184,~a_8,"[0,0154-0,0513]",3.67
185,~d_14,"[1,0000-1,0000]",12.21
185,a_5,"[0,7924-1,0000]",12.23
185,a_8,"[0,7913-0,9989]",12.25
186,a_1,"[1,0000-1,0000]",8.09
186,a_8,"[0,0278-0,0278]",8.24
