Prog,Lit,Exact,Time
141,~a_8,"[0,0040-0,0040]",3.13
142,d_19,"[0,9227-1,0000]",25.11
143,~d_19,"[0,9570-1,0000]",24.90
143,a_8,"[0,9563-0,9993]",25.45
143,a_9,"[0,0336-0,0936]",25.61
146,d_9,"[0,9668-1,0000]",12.41
146,~a_8,"[0,9186-0,9518]",12.67
146,a_8,"[0,0482-0,0814]",12.57
147,~a_2,"[0,9600-1,0000]",3.07
147,a_5,"[0,9600-1,0000]",3.12
147,a_8,"[0,9600-1,0000]",3.08
148,~d_12,"[0,9483-1,0000]",12.39
148,a_6,"[0,8868-1,0000]",12.38
148,a_8,"[0,0948-0,1542]",12.86
151,~d_14,"[0,9209-1,0000]",3.13
151,a_8,"[0,9900-1,0000]",3.09
152,d_15,"[0,9500-1,0000]",24.74
152,a_8,"[0,2329-0,2879]",25.46
152,~a_8,"[0,7121-0,7671]",25.67
153,~a_2,"[1,0000-1,0000]",6.17
154,d_14,"[0,9700-1,0000]",12.34
154,a_8,"[0,9700-1,0000]",12.49
154,~a_8,"[0,0000-0,0300]",12.43
155,d_15,"[1,0000-1,0000]",12.56
156,a_5,"[0,9103-1,0000]",3.11
157,~a_7,"[0,1152-0,1152]",6.39
157,~a_8,"[0,9036-0,9036]",6.43
158,a_1,"[0,9319-1,0000]",24.86
158,a_5,"[0,9319-1,0000]",25.02
158,a_7,"[0,0000-0,0681]",25.59
159,d_9,"[0,9136-1,0000]",12.41
160,~a_6,"[0,8760-1,0000]",25.05
160,a_8,"[0,8992-0,9516]",26.49
161,d_15,"[0,9800-1,0000]",6.26
162,a_8,"[0,0142-0,0442]",6.37
163,~a_3,"[1,0000-1,0000]",6.25
163,a_7,"[0,9428-0,9528]",6.40
163,~a_8,"[0,0000-0,0100]",6.42
166,a_8,"[0,9170-0,9770]",6.47
166,~a_8,"[0,0230-0,0830]",6.49
168,~d_13,"[0,9161-1,0000]",6.23
170,~a_2,"[0,9800-1,0000]",1.55
171,a_6,"[0,9232-1,0000]",6.23
171,~a_8,"[0,0000-0,0768]",6.21
172,~a_8,"[0,8144-0,9044]",6.35
173,d_14,"[0,7988-1,0000]",3.15
173,~a_6,"[0,7988-1,0000]",3.16
173,~a_7,"[0,8430-0,8930]",3.30
175,~a_2,"[0,9500-1,0000]",6.39
175,a_8,"[0,9500-1,0000]",6.36
176,d_16,"[0,9795-1,0000]",6.41
177,a_8,"[0,0962-0,1798]",3.23
178,~d_15,"[0,9800-1,0000]",6.38
178,a_5,"[0,9800-1,0000]",6.27
178,a_7,"[0,0263-0,0844]",6.48
179,~d_18,"[1,0000-1,0000]",12.54
179,a_5,"[0,9500-1,0000]",12.66
181,a_6,"[1,0000-1,0000]",3.20
182,a_5,"[0,8909-1,0000]",6.30
182,a_7,"[0,8544-0,9581]",6.58
183,~a_8,"[0,1789-0,1889]",25.41
184,a_8,"[0,8860-0,9124]",0.78
184,~a_8,"[0,0876-0,1140]",0.80
187,~a_8,"[0,7404-0,8304]",12.90
188,d_13,"[1,0000-1,0000]",0.78
188,~a_8,"[0,7141-0,9518]",0.81
188,~a_7,"[0,0007-0,2384]",0.84
189,a_1,"[0,9115-1,0000]",12.69
189,a_8,"[0,8928-0,9628]",12.97
189,~a_7,"[0,7693-0,8393]",12.87
191,a_5,"[0,9357-1,0000]",12.60
193,d_17,"[0,8631-1,0000]",12.48
193,~a_6,"[0,9110-1,0000]",12.46
193,a_9,"[0,0832-0,1722]",12.74
194,d_11,"[0,9301-1,0000]",6.28
194,a_5,"[0,9342-1,0000]",6.34
194,~a_7,"[0,0674-0,1332]",6.36
195,d_17,"[0,8660-1,0000]",3.12
195,a_7,"[0,8658-0,9998]",3.20
196,d_11,"[0,8823-1,0000]",3.13
196,~a_7,"[0,0000-0,1177]",3.23
197,~d_16,"[0,9104-1,0000]",3.13
198,~a_5,"[0,9500-1,0000]",3.20
198,~a_8,"[0,0852-0,1352]",3.21
199,d_16,"[0,8151-1,0000]",12.49
200,d_18,"[1,0000-1,0000]",12.50
200,a_5,"[1,0000-1,0000]",12.61
200,~a_7,"[0,0578-0,0578]",12.98
202,a_3,"[0,9320-1,0000]",6.27
202,a_8,"[0,9590-1,0000]",6.40
203,a_4,"[0,8794-1,0000]",0.39
203,a_8,"[0,8024-0,8511]",0.41
204,~d_20,"[0,8220-1,0000]",25.25
204,a_6,"[0,7095-1,0000]",25.16
204,~a_7,"[0,0188-0,3092]",25.86
205,a_6,"[0,9300-1,0000]",12.44
205,~a_7,"[0,0006-0,0852]",12.66
207,d_14,"[1,0000-1,0000]",12.60
209,d_12,"[0,9500-1,0000]",3.17
209,~a_5,"[0,9600-1,0000]",3.16
209,a_7,"[0,8140-0,9044]",3.22
211,d_11,"[0,9100-1,0000]",12.58
212,a_5,"[0,9605-1,0000]",6.31
213,a_4,"[0,9900-1,0000]",6.35
214,a_7,"[0,8885-0,9885]",12.77
215,d_13,"[0,9800-1,0000]",12.53
215,~a_8,"[0,9177-0,9995]",12.83
215,a_7,"[0,7791-0,9295]",12.86
216,~d_18,"[0,7876-1,0000]",12.69
216,a_7,"[0,1929-0,3847]",12.78
217,a_5,"[1,0000-1,0000]",3.14
217,~a_9,"[0,0907-0,0907]",3.21
219,d_9,"[0,9700-1,0000]",12.70
219,a_5,"[0,9700-1,0000]",12.66
219,a_7,"[0,0014-0,0314]",12.95
221,~d_15,"[0,9127-1,0000]",3.13
221,a_6,"[0,9300-1,0000]",3.20
221,~a_8,"[0,9300-1,0000]",3.23
222,~d_16,"[0,9311-1,0000]",3.13
222,a_8,"[0,8786-0,9475]",3.23
224,~d_10,"[1,0000-1,0000]",1.57
224,a_7,"[0,9919-0,9919]",1.65
224,~a_7,"[0,0081-0,0081]",1.70
225,d_12,"[1,0000-1,0000]",6.32
226,d_10,"[0,9432-1,0000]",3.17
226,a_7,"[0,8987-0,9087]",3.29
228,~d_12,"[1,0000-1,0000]",25.29
229,d_9,"[0,9146-1,0000]",6.30
229,a_7,"[0,9277-0,9277]",6.33
229,a_8,"[0,1696-0,1696]",6.45
231,~d_13,"[0,9205-1,0000]",12.87
231,~a_9,"[0,9920-0,9920]",13.44
231,a_7,"[0,8177-0,9177]",13.08
232,a_1,"[0,9624-1,0000]",12.71
233,~d_13,"[0,8356-1,0000]",25.30
233,a_6,"[0,9700-1,0000]",25.19
233,a_9,"[0,9951-0,9951]",26.30
234,a_5,"[0,8246-1,0000]",3.15
234,a_8,"[0,0895-0,2649]",3.22
