Prog,Lit,Intervalo,Metric,Time,Mass
227,~a_7,"[0,9015-1,0000]",0.9631,1.83,0.9582
228,~a_18,"[0,0719-0,2917]",0.9791,1.64,0.9607
228,a_15,"[0,0436-0,0998]",0.9668,1.70,0.9607
229,a_10,"[0,8567-1,0000]",0.9723,1.58,0.9564
231,a_2,"[0,9575-1,0000]",0.9770,1.19,0.9730
232,d_51,"[0,9243-1,0000]",0.9625,1.39,0.9565
232,~a_10,"[0,9219-1,0000]",0.9683,1.41,0.9565
232,~a_17,"[0,8584-1,0000]",0.9674,1.42,0.9565
233,~d_58,"[0,9534-1,0000]",0.9544,1.49,0.9534
233,a_17,"[0,1201-0,1885]",0.9596,1.55,0.9534
234,d_54,"[0,9186-1,0000]",0.9715,1.39,0.9666
235,a_19,"[0,7565-0,9850]",0.9924,1.63,0.9734
236,~d_52,"[0,8325-1,0000]",0.9816,1.19,0.9735
236,~a_10,"[0,8918-1,0000]",0.9805,1.18,0.9735
236,a_16,"[0,8677-0,9845]",0.9793,1.22,0.9735
237,a_2,"[0,9074-1,0000]",0.9681,1.74,0.9612
239,~a_18,"[0,0016-0,3411]",0.9937,1.60,0.9707
240,d_42,"[0,9555-1,0000]",0.9678,1.62,0.9577
241,a_5,"[0,7552-1,0000]",0.9794,1.55,0.9706
243,a_19,"[0,8418-1,0000]",0.9908,1.46,0.9792
244,d_57,"[0,8791-1,0000]",0.9679,2.18,0.9628
247,a_3,"[0,7913-1,0000]",0.9808,1.76,0.9738
249,a_18,"[0,0847-0,2043]",0.9837,1.81,0.9585
251,a_7,"[0,8832-1,0000]",0.9562,2.06,0.9477
252,d_28,"[0,9568-1,0000]",0.9657,1.61,0.9615
252,~a_15,"[0,0000-0,2038]",0.9805,1.61,0.9615
252,~a_18,"[0,6956-0,9240]",0.9810,1.60,0.9615
253,~d_52,"[0,9341-1,0000]",0.9508,2.21,0.9464
255,d_57,"[0,9461-1,0000]",0.9627,1.85,0.9593
257,d_48,"[0,9816-1,0000]",0.9816,0.81,0.9816
257,a_19,"[0,8128-0,9930]",0.9895,0.84,0.9816
258,~d_72,"[0,8474-1,0000]",0.9855,1.30,0.9724
259,d_36,"[0,9511-1,0000]",0.9513,1.79,0.9511
259,a_16,"[0,0118-0,2035]",0.9587,2.35,0.9511
260,a_7,"[0,8951-1,0000]",0.9729,1.57,0.9664
260,~a_12,"[0,7285-1,0000]",0.9823,1.57,0.9664
261,d_27,"[0,8948-1,0000]",0.9576,2.31,0.9499
264,d_38,"[0,8969-1,0000]",0.9833,1.10,0.9757
265,~d_41,"[0,9692-1,0000]",0.9737,1.16,0.9698
265,a_15,"[0,7849-0,9235]",0.9782,1.18,0.9698
268,d_52,"[0,9604-1,0000]",0.9647,1.41,0.9632
268,~a_18,"[0,9339-0,9743]",0.9653,1.45,0.9632
269,a_6,"[0,9448-1,0000]",0.9586,1.84,0.9558
270,d_30,"[0,9567-1,0000]",0.9745,1.54,0.9723
270,a_15,"[0,7641-0,9132]",0.9796,1.56,0.9723
271,d_24,"[0,9058-1,0000]",0.9667,2.05,0.9632
273,d_58,"[0,7684-1,0000]",0.9727,2.00,0.9485
275,d_21,"[0,9004-1,0000]",0.9683,1.14,0.9680
276,d_61,"[0,9411-1,0000]",0.9699,1.47,0.9633
276,a_12,"[0,8652-1,0000]",0.9680,1.47,0.9633
278,~d_23,"[0,7773-1,0000]",0.9589,2.03,0.9530
280,a_13,"[0,9395-1,0000]",0.9786,1.55,0.9701
281,d_24,"[0,9385-1,0000]",0.9524,1.57,0.9503
281,a_11,"[0,8569-1,0000]",0.9660,1.58,0.9503
284,d_25,"[0,9163-1,0000]",0.9701,1.72,0.9626
284,a_20,"[0,6915-0,9212]",0.9795,1.77,0.9626
286,d_22,"[0,8918-1,0000]",0.9624,1.70,0.9577
286,~a_16,"[0,8505-0,9913]",0.9687,1.80,0.9577
286,a_17,"[0,1069-0,2405]",0.9664,2.08,0.9577
288,~d_31,"[0,9573-1,0000]",0.9597,1.55,0.9585
290,d_64,"[0,9635-1,0000]",0.9636,1.51,0.9635
292,d_48,"[0,9340-1,0000]",0.9618,1.88,0.9576
293,d_43,"[0,9713-1,0000]",0.9720,1.38,0.9719
293,~a_17,"[0,7315-0,9408]",0.9820,1.49,0.9719
294,d_72,"[0,8677-1,0000]",0.9811,1.42,0.9701
294,~a_16,"[0,0003-0,1548]",0.9782,2.39,0.9701
295,~d_57,"[0,9369-1,0000]",0.9734,1.41,0.9668
296,a_5,"[0,9747-1,0000]",0.9835,1.05,0.9815
297,~a_4,"[0,9678-1,0000]",0.9774,1.29,0.9734
298,a_19,"[0,7787-0,9929]",0.9807,1.94,0.9656
298,a_16,"[0,0828-0,2608]",0.9735,1.93,0.9656
299,d_42,"[0,9528-1,0000]",0.9540,1.44,0.9537
299,a_14,"[0,8305-1,0000]",0.9773,1.44,0.9537
299,~a_16,"[0,0000-0,2052]",0.9746,1.76,0.9537
