Prog,Lit,Exact,Time
85,d_19,"[1,0000-1,0000]",3.06
86,~a_2,"[1,0000-1,0000]",18.21
86,a_9,"[0,8959-0,8959]",19.21
87,~a_4,"[1,0000-1,0000]",0.65
87,a_5,"[0,9946-1,0000]",0.63
87,a_8,"[0,8827-0,8827]",0.67
88,~a_1,"[0,9914-1,0000]",7.84
89,~a_5,"[1,0000-1,0000]",4.18
90,d_15,"[1,0000-1,0000]",4.99
90,~a_8,"[0,1151-0,1153]",5.20
90,a_7,"[0,8653-0,9503]",5.48
91,a_4,"[1,0000-1,0000]",15.51
91,a_7,"[0,8614-0,9940]",16.73
91,a_9,"[0,9137-0,9188]",16.15
92,a_2,"[1,0000-1,0000]",2.68
93,a_3,"[1,0000-1,0000]",2.99
93,a_6,"[1,0000-1,0000]",2.98
93,a_8,"[0,9528-0,9528]",3.06
94,d_18,"[1,0000-1,0000]",10.31
94,a_6,"[1,0000-1,0000]",10.36
94,~a_7,"[0,9995-1,0000]",10.33
95,~a_8,"[1,0000-1,0000]",2.47
95,a_8,"[0,0000--0,0000]",2.48
97,a_8,"[0,7931-0,7931]",2.24
99,~d_14,"[1,0000-1,0000]",5.70
99,~a_8,"[0,8897-0,8897]",5.84
99,a_7,"[0,0002-0,0372]",5.80
100,~d_12,"[1,0000-1,0000]",2.35
100,~a_6,"[0,9583-1,0000]",2.41
100,a_7,"[0,0000-0,0417]",2.49
101,d_14,"[1,0000-1,0000]",2.14
101,a_8,"[0,8572-1,0000]",2.20
101,~a_8,"[0,0000-0,1428]",2.26
102,d_16,"[1,0000-1,0000]",13.05
102,a_5,"[0,9985-1,0000]",12.99
102,a_8,"[0,8344-0,9857]",13.29
103,d_15,"[0,9069-1,0000]",4.64
103,~a_8,"[0,9001-0,9001]",4.73
103,a_7,"[0,9963-0,9963]",4.76
104,d_16,"[1,0000-1,0000]",2.45
105,~a_6,"[0,8866-1,0000]",1.51
105,a_7,"[0,8834-1,0000]",1.64
106,d_11,"[0,9548-1,0000]",0.78
106,a_6,"[1,0000-1,0000]",0.77
106,~a_8,"[0,8885-1,0000]",0.79
107,~a_2,"[1,0000-1,0000]",2.45
108,a_8,"[0,9932-0,9996]",11.61
109,d_15,"[1,0000-1,0000]",2.64
110,d_10,"[1,0000-1,0000]",6.32
110,~a_7,"[0,8343-1,0000]",6.51
110,~a_8,"[0,8343-1,0000]",6.43
111,~d_14,"[1,0000-1,0000]",4.40
113,d_12,"[1,0000-1,0000]",3.22
113,a_7,"[0,0349-0,1396]",3.32
114,a_5,"[1,0000-1,0000]",3.18
114,a_7,"[0,0159-0,0233]",3.35
115,~a_2,"[0,9703-1,0000]",3.60
115,a_5,"[1,0000-1,0000]",3.62
115,~a_8,"[0,1431-0,1494]",3.90
116,~d_11,"[1,0000-1,0000]",3.18
118,~a_3,"[1,0000-1,0000]",3.66
118,a_7,"[0,0868-0,1612]",3.79
118,a_8,"[0,0000-0,0745]",3.84
119,~a_9,"[1,0000-1,0000]",2.94
119,a_6,"[1,0000-1,0000]",3.00
119,a_8,"[1,0000-1,0000]",3.05
120,a_2,"[1,0000-1,0000]",4.26
120,~a_6,"[1,0000-1,0000]",4.23
120,~a_7,"[0,0000-0,1450]",4.45
121,a_1,"[1,0000-1,0000]",0.95
121,a_5,"[1,0000-1,0000]",0.92
121,~a_8,"[0,0845-0,0845]",0.95
123,~a_8,"[0,9283-0,9652]",11.64
123,a_8,"[0,0348-0,0717]",11.69
124,~a_7,"[0,9975-0,9975]",5.26
124,~a_8,"[0,9622-0,9622]",5.46
125,d_19,"[1,0000-1,0000]",6.13
125,~a_8,"[0,9418-0,9794]",6.60
127,a_3,"[1,0000-1,0000]",4.68
127,a_8,"[0,9408-0,9531]",4.74
128,d_10,"[1,0000-1,0000]",2.01
128,a_8,"[0,8194-0,8615]",2.27
129,d_14,"[1,0000-1,0000]",4.45
129,a_7,"[0,1433-0,1509]",4.81
130,~d_14,"[1,0000-1,0000]",6.81
131,d_12,"[1,0000-1,0000]",0.98
132,a_1,"[1,0000-1,0000]",7.76
132,~a_8,"[0,9912-0,9912]",8.20
132,a_8,"[0,0088-0,0088]",8.15
133,d_11,"[1,0000-1,0000]",4.06
134,d_9,"[1,0000-1,0000]",4.88
134,a_5,"[0,8221-1,0000]",4.90
134,~a_7,"[0,0816-0,1982]",5.05
135,d_16,"[1,0000-1,0000]",5.04
136,d_16,"[1,0000-1,0000]",5.37
137,a_3,"[1,0000-1,0000]",6.82
138,d_12,"[1,0000-1,0000]",1.10
138,a_8,"[0,0000-0,0000]",1.15
139,~d_15,"[1,0000-1,0000]",3.26
139,~a_6,"[1,0000-1,0000]",3.25
139,~a_7,"[0,0212-0,0215]",3.36
140,~a_4,"[1,0000-1,0000]",4.80
140,a_6,"[1,0000-1,0000]",4.92
140,~a_7,"[0,0000-0,0100]",5.00
141,d_10,"[1,0000-1,0000]",3.73
142,a_2,"[1,0000-1,0000]",9.45
142,~a_5,"[1,0000-1,0000]",9.42
142,a_9,"[0,1344-0,1344]",9.53
143,d_16,"[0,8935-1,0000]",6.72
143,a_8,"[0,0858-0,0858]",7.18
144,a_2,"[1,0000-1,0000]",8.71
144,a_7,"[0,0839-0,1194]",8.98
145,d_9,"[1,0000-1,0000]",2.59
146,a_1,"[0,8398-1,0000]",3.73
148,~d_16,"[1,0000-1,0000]",4.95
148,a_7,"[1,0000-1,0000]",5.06
