Prog,Lit,Exact,Time
213,~a_6,"[0,9349-1,0000]",54.08
214,~a_9,"[0,7633-0,7751]",53.03
214,a_7,"[0,8187-0,8234]",52.78
215,a_7,"[0,1142-0,2465]",51.11
216,d_19,"[0,9129-1,0000]",39.52
217,d_12,"[0,9602-1,0000]",14.04
218,a_5,"[0,8573-1,0000]",72.75
219,d_10,"[0,9989-1,0000]",46.26
219,a_5,"[0,7346-1,0000]",46.29
219,~a_8,"[0,7456-0,9564]",46.34
220,d_20,"[0,9747-1,0000]",40.77
222,~d_16,"[0,7674-1,0000]",60.05
224,a_1,"[0,9513-1,0000]",10.95
224,~a_7,"[0,6784-0,7716]",11.17
225,a_6,"[0,7683-1,0000]",48.28
225,~a_8,"[0,0208-0,0682]",49.53
226,~a_3,"[0,9551-1,0000]",68.15
227,~a_7,"[0,6411-0,9226]",54.58
230,d_16,"[0,9996-1,0000]",52.17
230,a_5,"[0,9900-1,0000]",52.30
230,a_9,"[0,1155-0,1348]",52.62
231,d_19,"[0,9530-1,0000]",57.00
231,~a_9,"[0,9222-1,0000]",57.48
232,~a_7,"[0,9379-0,9945]",61.18
233,d_17,"[0,9875-1,0000]",73.92
233,a_7,"[0,9100-1,0000]",74.18
235,~d_15,"[0,9995-1,0000]",31.47
235,a_7,"[0,9831-0,9957]",31.95
236,a_3,"[0,9289-1,0000]",43.82
236,~a_8,"[0,0837-0,1544]",44.88
237,~a_4,"[0,8980-1,0000]",37.78
237,~a_7,"[0,1918-0,3441]",38.40
238,~a_8,"[0,8551-0,9235]",26.90
239,d_9,"[0,9289-1,0000]",33.42
239,~a_6,"[0,9630-1,0000]",33.53
239,a_8,"[0,1426-0,1474]",33.68
240,d_13,"[0,9732-1,0000]",54.38
240,~a_9,"[0,8085-0,8498]",55.47
241,~a_2,"[0,8508-1,0000]",49.23
242,a_9,"[0,8985-1,0000]",54.33
242,a_8,"[0,0900-0,1915]",54.79
243,d_13,"[0,8477-1,0000]",66.93
243,a_5,"[0,9160-1,0000]",67.01
243,a_7,"[0,0723-0,1585]",68.18
244,d_12,"[0,8816-1,0000]",54.07
244,~a_5,"[0,9129-1,0000]",54.13
245,d_16,"[0,9252-1,0000]",43.44
246,d_16,"[0,8710-1,0000]",61.88
247,a_5,"[0,9403-1,0000]",36.75
247,a_9,"[0,0139-0,0736]",36.99
248,d_15,"[0,6780-1,0000]",26.45
248,~a_5,"[0,9844-1,0000]",26.52
249,~a_1,"[0,9554-1,0000]",41.94
249,a_5,"[0,8854-1,0000]",41.94
249,~a_8,"[0,1014-0,2670]",42.23
250,~d_12,"[0,8386-1,0000]",34.98
251,~a_0,"[0,8951-1,0000]",42.90
251,~a_8,"[0,8689-0,9893]",43.22
252,a_4,"[0,9989-1,0000]",53.89
252,~a_5,"[0,8766-1,0000]",53.98
252,a_7,"[0,8825-0,9984]",54.12
253,~d_13,"[0,9246-1,0000]",70.72
253,~a_8,"[0,7354-0,8814]",72.34
253,a_7,"[0,7344-0,8805]",71.05
254,d_16,"[0,9513-1,0000]",53.06
255,a_3,"[0,8943-1,0000]",55.44
257,a_2,"[0,9268-1,0000]",44.46
258,a_5,"[0,9667-1,0000]",41.55
258,a_7,"[0,9600-0,9892]",42.45
260,d_10,"[0,9648-1,0000]",50.39
261,d_10,"[0,9979-1,0000]",23.47
261,a_8,"[0,9056-0,9743]",23.60
262,~a_7,"[0,6249-0,9073]",49.51
263,~d_16,"[0,9724-1,0000]",52.55
264,~a_7,"[0,0020-0,0319]",57.96
267,d_10,"[0,9743-1,0000]",50.79
267,~a_7,"[0,1028-0,2297]",51.68
268,~a_7,"[0,0950-0,2175]",40.16
269,a_2,"[0,9656-1,0000]",60.13
269,a_8,"[0,8501-0,9021]",60.65
270,d_12,"[0,9988-1,0000]",22.77
270,~a_9,"[0,1420-0,2543]",22.95
271,d_11,"[0,9834-1,0000]",67.41
272,d_13,"[0,9530-1,0000]",29.17
273,~d_13,"[0,8632-1,0000]",35.27
273,a_8,"[0,0988-0,2251]",35.64
274,~a_6,"[0,7743-1,0000]",47.55
277,a_1,"[0,9544-1,0000]",50.35
277,a_6,"[0,9811-1,0000]",50.49
277,a_7,"[0,8647-0,8676]",50.53
279,~d_19,"[0,9950-1,0000]",65.31
280,~a_9,"[0,0412-0,2427]",65.14
281,d_11,"[0,9363-1,0000]",29.75
282,d_16,"[1,0000-1,0000]",55.82
282,a_5,"[0,9266-1,0000]",55.75
282,~a_9,"[0,0297-0,2869]",55.77
283,a_2,"[0,9287-1,0000]",55.92
283,a_9,"[0,7951-0,9935]",56.40
283,~a_8,"[0,6587-0,8694]",56.68
284,a_7,"[0,0003-0,1188]",42.61
285,~a_5,"[0,8372-1,0000]",50.56
285,~a_7,"[0,0000-0,0496]",51.49
288,a_3,"[0,9457-1,0000]",39.64
289,a_3,"[0,9220-1,0000]",55.07
290,~d_14,"[0,9136-1,0000]",55.99
292,d_12,"[0,9656-1,0000]",35.00
292,a_7,"[0,7107-0,8865]",35.12
292,~a_9,"[0,1430-0,2145]",35.21
293,d_15,"[0,9403-1,0000]",42.48
293,a_6,"[0,8330-1,0000]",42.49
293,~a_7,"[0,0825-0,1533]",42.61
294,d_14,"[0,9814-1,0000]",55.64
294,a_7,"[0,9181-1,0000]",55.75
295,d_15,"[0,7697-1,0000]",25.75
295,a_6,"[0,9022-1,0000]",25.73
296,d_18,"[0,8674-1,0000]",51.16
296,~a_8,"[0,0360-0,0452]",52.95
297,a_3,"[0,9995-1,0000]",52.65
297,a_7,"[0,0034-0,1156]",52.84
298,~a_6,"[0,8618-1,0000]",21.47
299,d_13,"[0,9699-1,0000]",42.22
