Prog,Lit,Exact,Time
261,~a_17,"[0,0068-0,0313]",110.90
262,d_60,"[0,9200-1,0000]",88.52
262,a_13,"[0,8646-1,0000]",88.83
262,~a_16,"[0,0822-0,2176]",93.85
263,~d_22,"[0,9000-1,0000]",88.21
264,a_11,"[0,9100-1,0000]",88.06
265,d_19,"[0,9400-1,0000]",44.12
265,~a_16,"[0,7574-0,8174]",51.46
266,~a_5,"[0,9110-1,0000]",87.98
267,a_17,"[0,7311-0,9999]",94.37
267,~a_15,"[0,7288-0,9925]",105.18
268,a_16,"[0,8969-0,8969]",106.02
269,a_10,"[0,7157-1,0000]",89.50
269,~a_14,"[0,2057-0,3230]",93.41
271,~d_47,"[0,9125-1,0000]",88.29
272,a_14,"[0,1042-0,2149]",103.38
274,a_6,"[0,9491-1,0000]",88.45
275,d_46,"[0,8347-1,0000]",89.40
276,~a_15,"[0,9507-1,0000]",117.50
277,d_53,"[0,9700-1,0000]",90.09
277,a_12,"[0,9714-1,0000]",90.39
277,a_16,"[0,8969-0,9997]",96.79
278,a_16,"[0,9617-0,9829]",101.39
279,~a_8,"[0,9900-1,0000]",87.84
279,a_10,"[0,8233-1,0000]",88.03
279,~a_16,"[0,8209-0,9978]",96.14
280,d_53,"[0,9103-1,0000]",87.87
282,~a_14,"[0,0892-0,1092]",109.43
283,d_39,"[0,8402-1,0000]",44.10
283,a_11,"[0,9700-1,0000]",44.20
286,~d_49,"[0,9494-1,0000]",90.16
287,a_1,"[0,9657-1,0000]",88.56
287,a_11,"[0,8141-1,0000]",91.82
287,~a_15,"[0,7054-0,8489]",99.16
288,~d_25,"[0,9100-1,0000]",87.75
289,d_35,"[0,9894-1,0000]",86.89
290,d_60,"[0,9700-1,0000]",87.60
292,~d_32,"[0,8338-1,0000]",95.73
292,a_12,"[1,0000-1,0000]",96.16
293,a_7,"[0,8737-1,0000]",95.16
294,a_15,"[0,9343-1,0000]",52.20
295,d_28,"[0,8081-1,0000]",94.19
295,~a_16,"[0,7166-0,9783]",110.93
297,a_17,"[0,1301-0,1736]",105.50
298,d_31,"[0,9800-1,0000]",47.86
298,~a_12,"[0,8680-1,0000]",47.86
298,~a_14,"[0,0011-0,1498]",52.98
299,a_10,"[0,9477-1,0000]",95.36
299,a_17,"[0,9219-0,9742]",130.90
