Prog,Lit,Intervalo,Metric,Time,Mass
135,a_16,"[0,0055-0,9988]",0.0071,10.39,0.0071
136,d_22,"[1,3156-1,0000]",1.5388,18.21,1.3156
136,~a_10,"[1,3147-1,0000]",1.3735,18.08,1.3156
136,~a_19,"[0,0000--0,3035]",1.3771,19.10,1.3156
137,d_60,"[0,2133-1,0000]",0.2223,18.73,0.2136
138,~d_23,"[0,0145-1,0000]",0.0145,4.75,0.0145
138,a_11,"[0,0138-1,0000]",0.0153,4.66,0.0145
139,d_41,"[0,0016-1,0000]",0.0019,17.72,0.0119
139,a_13,"[0,0095-1,0000]",0.0099,17.95,0.0119
140,a_14,"[0,0239-1,0000]",0.0241,25.04,0.0278
142,d_33,"[0,0129-1,0000]",0.0135,17.94,0.0162
142,a_13,"[0,0129-1,0000]",0.0135,17.98,0.0162
143,d_36,"[0,0001-1,0000]",0.0001,18.03,0.0002
143,~a_14,"[0,0001-1,0000]",0.0001,19.30,0.0002
145,a_17,"[0,0599-1,0000]",0.0670,12.33,0.0600
146,~d_61,"[0,0505-1,0000]",0.0583,18.43,0.0505
147,a_13,"[0,0215-1,0000]",0.0231,17.79,0.0215
147,a_17,"[0,0000-0,9965]",0.0043,18.74,0.0215
148,~a_10,"[0,0067-1,0000]",0.0067,18.19,0.0067
149,d_24,"[0,0172-1,0000]",0.0172,9.06,0.0172
150,d_18,"[0,1705-1,0000]",0.1705,17.69,0.1705
150,~a_14,"[0,0002-0,9666]",0.0389,20.37,0.1705
150,~a_17,"[0,0000-0,9665]",0.0389,24.82,0.1705
151,d_20,"[0,0004-1,0000]",0.0005,18.21,0.0213
152,~a_7,"[0,0187-1,0000]",0.0187,18.40,0.0187
152,~a_16,"[0,0049-0,9865]",0.0202,20.51,0.0187
152,a_14,"[0,0038-0,9851]",0.0195,22.30,0.0187
154,d_22,"[0,0057-1,0000]",0.0063,8.75,0.0111
155,d_50,"[0,1719-1,0000]",0.1828,24.40,0.1729
156,~d_59,"[0,0750-1,0000]",0.0825,18.63,0.1010
157,~a_13,"[0,0031-1,0000]",0.0031,16.13,0.0031
158,~d_31,"[0,2281-1,0000]",0.2281,21.48,0.2281
158,~a_15,"[0,2135-0,9996]",0.2300,22.72,0.2281
158,~a_14,"[0,1277-0,8996]",0.2281,33.47,0.2281
159,~a_16,"[0,0162-0,9997]",0.0165,20.93,0.0165
163,a_10,"[0,0010-1,0000]",0.0011,15.95,0.0049
163,a_17,"[0,0010-0,9966]",0.0048,16.96,0.0049
164,d_45,"[0,0137-1,0000]",0.0138,15.81,0.0137
166,a_14,"[0,0005-1,0000]",0.0007,20.79,0.0062
168,d_52,"[0,0004-1,0000]",0.0006,17.11,0.0006
169,~d_46,"[1,3479-1,0000]",1.3479,16.13,1.3479
169,a_17,"[1,3430-0,9994]",1.5501,19.02,1.3479
169,a_16,"[1,3445-1,0000]",1.5547,17.57,1.3479
170,a_11,"[0,0723-1,0000]",0.0893,15.73,0.0932
170,a_16,"[0,0118-0,9186]",0.0991,23.00,0.0932
172,d_33,"[0,0020-1,0000]",0.0022,8.28,0.0023
173,d_30,"[0,0639-1,0000]",0.0665,8.06,0.0640
173,a_15,"[0,0012-0,9385]",0.0742,9.08,0.0640
173,~a_16,"[0,0018-0,9378]",0.0640,10.16,0.0640
176,d_61,"[0,0771-1,0000]",0.0912,7.88,0.0913
178,a_7,"[0,0170-1,0000]",0.0205,15.59,0.0357
180,d_35,"[0,0063-1,0000]",0.0065,15.23,0.0079
180,a_14,"[0,0078-1,0000]",0.0091,18.02,0.0079
181,a_9,"[0,0546-1,0000]",0.0557,7.70,0.0804
181,a_12,"[0,0788-1,0000]",0.0889,7.59,0.0804
181,a_14,"[0,0539-0,9998]",0.0605,9.01,0.0804
182,~d_43,"[0,1801-1,0000]",0.2084,15.36,0.1829
183,d_33,"[0,0000-1,0000]",0.0000,15.33,0.0015
184,d_25,"[0,0384-1,0000]",0.0416,16.28,0.0386
184,a_14,"[0,0331-0,9999]",0.0375,21.39,0.0386
186,a_16,"[0,1328-1,0000]",0.1533,17.83,0.1334
186,~a_14,"[0,1328-0,9993]",0.1467,16.66,0.1334
187,~a_10,"[0,0449-1,0000]",0.0568,16.09,0.1602
187,a_18,"[0,1382-1,0000]",0.1635,16.68,0.1602
188,d_20,"[0,0969-1,0000]",0.1079,16.26,0.1021
188,a_14,"[0,1021-1,0000]",0.1021,16.55,0.1021
189,~a_11,"[0,0104-1,0000]",0.0113,15.83,0.0109
189,~a_14,"[0,0000-0,9891]",0.0109,23.46,0.0109
190,a_17,"[0,0023-1,0000]",0.0027,21.02,0.0026
191,a_16,"[0,0141-0,9989]",0.0156,8.53,0.0525
192,d_28,"[0,0557-1,0000]",0.0619,16.80,0.0558
194,a_7,"[0,1238-1,0000]",0.1332,21.66,0.1321
194,a_13,"[0,1316-1,0000]",0.1393,21.57,0.1321
195,d_57,"[0,0193-1,0000]",0.0212,7.65,0.0200
197,a_12,"[0,0694-1,0000]",0.0746,7.61,0.0696
198,~a_14,"[0,0246-1,0000]",0.0268,16.53,0.0269
199,~a_9,"[0,0101-1,0000]",0.0111,16.36,0.1080
200,a_16,"[0,0000-1,0000]",0.0000,17.68,0.0001
201,d_54,"[0,0027-1,0000]",0.0028,15.70,0.0031
202,~d_43,"[0,9769-1,0000]",1.0068,15.93,0.9773
203,~d_27,"[0,1099-1,0000]",0.1110,16.00,0.1113
203,a_10,"[0,1113-1,0000]",0.1113,15.71,0.1113
204,d_50,"[0,0046-1,0000]",0.0046,16.26,0.0046
205,d_20,"[0,0095-1,0000]",0.0095,3.74,0.0095
205,a_15,"[0,0088-1,0000]",0.0092,4.54,0.0095
206,~a_18,"[0,0000-0,9924]",0.0099,18.12,0.0081
207,d_59,"[0,1078-1,0000]",0.1078,15.40,0.1078
207,a_17,"[0,1060-0,9996]",0.1156,18.13,0.1078
207,~a_16,"[0,0004-0,8940]",0.1156,18.40,0.1078
208,d_30,"[0,0134-1,0000]",0.0134,8.05,0.0134
208,~a_17,"[0,0124-0,9990]",0.0146,9.43,0.0134
209,d_51,"[0,0011-1,0000]",0.0012,8.34,0.0017
210,d_46,"[0,0000-1,0000]",0.0000,16.99,0.0000
210,a_13,"[0,0000-1,0000]",0.0000,16.79,0.0000
211,d_18,"[0,1216-1,0000]",0.1558,21.49,0.2611
211,a_14,"[0,0004-0,9740]",0.0346,25.57,0.2611
212,~d_56,"[0,0036-1,0000]",0.0038,16.12,0.0036
212,a_13,"[0,0018-1,0000]",0.0020,15.82,0.0036
212,a_17,"[0,0018-1,0000]",0.0021,20.68,0.0036
213,~d_59,"[0,0106-1,0000]",0.0116,8.30,0.0167
213,a_15,"[0,0102-0,9936]",0.0172,10.53,0.0167
215,~d_20,"[0,1028-1,0000]",0.1142,16.02,0.1028
215,a_14,"[0,0905-1,0000]",0.0984,22.06,0.1028
217,d_53,"[0,0516-1,0000]",0.0530,8.62,0.0528
218,~a_9,"[0,0150-1,0000]",0.0157,15.69,0.0155
218,a_14,"[0,0003-0,9853]",0.0157,19.91,0.0155
219,d_64,"[0,0879-1,0000]",0.0896,15.22,0.0879
219,a_12,"[0,0879-1,0000]",0.0896,15.27,0.0879
219,~a_15,"[0,0870-0,9992]",0.0896,18.42,0.0879
220,d_24,"[0,0009-1,0000]",0.0013,15.74,0.0072
220,~a_13,"[0,0072-1,0000]",0.0072,15.55,0.0072
220,~a_14,"[0,0024-0,9953]",0.0075,19.54,0.0072
221,d_61,"[0,0705-1,0000]",0.0775,7.68,0.0732
221,a_14,"[0,0606-1,0000]",0.0716,8.59,0.0732
224,a_11,"[0,0323-1,0000]",0.0329,7.90,0.0323
224,~a_16,"[0,0000-0,9791]",0.0218,14.58,0.0323
225,~a_14,"[0,0099-0,9885]",0.0218,18.39,0.0218
226,~a_17,"[0,0746-0,9998]",0.0771,20.81,0.0748
