Prog,Lit,Exact,Time
161,a_7,"[0,0326-0,1226]",44.69
162,a_1,"[0,9427-1,0000]",23.67
162,a_8,"[0,8814-0,9402]",23.65
163,a_7,"[0,7838-0,9334]",371.21
164,~a_3,"[0,8749-1,0000]",22.87
164,a_7,"[0,1743-0,2994]",22.92
164,a_8,"[0,8738-0,9989]",23.63
165,a_7,"[0,9038-0,9638]",46.64
166,a_5,"[0,9200-1,0000]",184.50
166,a_8,"[0,8422-0,9222]",188.44
167,~a_6,"[0,7897-1,0000]",47.23
167,~a_8,"[0,7897-1,0000]",46.85
168,a_0,"[1,0000-1,0000]",11.70
169,d_12,"[0,9429-1,0000]",46.39
169,a_7,"[0,2522-0,3105]",47.24
169,~a_8,"[0,0000-0,0583]",46.72
170,~a_4,"[0,9400-1,0000]",45.95
171,a_3,"[0,9400-1,0000]",45.27
172,a_7,"[0,9009-0,9809]",184.18
173,d_9,"[0,8254-1,0000]",22.78
174,d_16,"[0,9894-1,0000]",44.98
174,a_7,"[0,9373-0,9973]",46.23
174,a_8,"[0,0245-0,1799]",47.59
177,a_1,"[1,0000-1,0000]",23.94
177,~a_6,"[0,8846-1,0000]",23.45
178,a_7,"[0,0073-0,1310]",11.94
179,a_7,"[0,1909-0,3034]",23.73
179,a_8,"[0,7844-0,8969]",23.65
181,~a_8,"[0,1440-0,2116]",92.82
182,a_7,"[0,9107-0,9939]",373.06
182,~a_7,"[0,0061-0,0893]",376.52
183,d_11,"[1,0000-1,0000]",11.84
185,~a_1,"[0,9300-1,0000]",44.07
186,a_1,"[0,9400-1,0000]",44.92
186,~a_7,"[0,1678-0,2364]",47.04
187,a_6,"[0,9109-1,0000]",90.64
187,~a_8,"[0,6988-0,7879]",92.46
189,a_0,"[0,9900-1,0000]",11.20
191,a_6,"[0,9193-1,0000]",11.97
192,a_3,"[0,7203-1,0000]",185.54
192,a_8,"[0,6385-0,9182]",191.81
193,d_17,"[0,9600-1,0000]",6.36
193,a_5,"[0,9600-1,0000]",6.06
193,~a_9,"[0,9600-1,0000]",5.96
194,~d_10,"[0,9412-1,0000]",92.53
194,~a_8,"[0,1070-0,1805]",93.54
