Prog,Lit,Intervalo,Metric,Time,Mass
115,a_4,"[0,0787-1,0000]",0.0948,67.64,0.0962
115,a_8,"[0,0574-0,9828]",0.0955,69.10,0.0962
115,~a_7,"[0,0654-0,9908]",0.0955,68.42,0.0962
116,d_9,"[0,0520-1,0000]",0.0983,135.07,0.1019
118,~a_8,"[0,0761-0,9788]",0.0993,16.47,0.0992
119,~a_3,"[0,0500-1,0000]",0.0908,33.16,0.0894
119,a_8,"[0,0312-0,9847]",0.0925,33.69,0.0894
119,~a_7,"[0,0340-0,9565]",0.0892,33.85,0.0894
120,a_3,"[0,0583-1,0000]",0.1033,66.96,0.1002
121,a_4,"[0,0737-1,0000]",0.0970,33.44,0.0970
121,a_7,"[0,0310-0,9477]",0.0980,33.43,0.0970
121,~a_7,"[0,0523-0,9690]",0.0980,33.60,0.0970
122,d_11,"[0,0916-1,0000]",0.0945,16.43,0.0944
122,~a_8,"[0,0054-0,9557]",0.0968,16.75,0.0944
