Prog,Lit,Intervalo,Metric,Time,Mass
142,~a_5,"[0,0427-1,0000]",0.0427,2.82,0.0427
142,a_9,"[0,0004-0,9578]",0.0427,2.85,0.0427
143,d_16,"[0,0040-1,0000]",0.0045,2.62,0.0084
143,a_8,"[0,0029-0,9945]",0.0084,2.81,0.0084
144,a_2,"[0,0066-1,0000]",0.0066,2.59,0.0066
144,a_7,"[0,0004-0,9958]",0.0048,2.71,0.0066
145,d_9,"[0,0502-1,0000]",0.0502,1.62,0.0502
146,a_1,"[0,0051-1,0000]",0.0061,1.88,0.0110
148,~d_16,"[0,0588-1,0000]",0.0588,2.27,0.0588
148,a_7,"[0,0588-1,0000]",0.0588,2.31,0.0588
149,~a_8,"[0,0219-1,0000]",0.0219,1.91,0.0219
149,~a_9,"[0,0151-1,0000]",0.0186,2.00,0.0219
149,a_9,"[0,0000-0,9849]",0.0186,2.02,0.0219
150,a_5,"[0,0001-1,0000]",0.0001,1.67,0.0047
151,~d_12,"[0,0586-1,0000]",0.0586,1.51,0.0586
151,a_5,"[0,0586-1,0000]",0.0586,1.52,0.0586
151,a_9,"[0,0542-0,9956]",0.0586,1.54,0.0586
152,d_12,"[0,0520-1,0000]",0.0520,1.67,0.0520
152,a_7,"[0,0000-0,9480]",0.0520,1.80,0.0520
152,a_8,"[0,0519-0,9999]",0.0520,1.80,0.0520
153,d_11,"[0,0979-1,0000]",0.0979,2.91,0.0979
153,a_9,"[0,0001-0,9396]",0.0700,2.99,0.0979
154,d_12,"[0,0074-1,0000]",0.0074,2.24,0.0074
155,~d_18,"[0,0438-1,0000]",0.0438,2.31,0.0438
156,d_15,"[0,0618-1,0000]",0.0618,2.14,0.0618
156,~a_7,"[0,0618-1,0000]",0.0618,2.17,0.0618
157,d_11,"[0,0298-1,0000]",0.0298,1.94,0.0298
158,d_14,"[0,0037-1,0000]",0.0038,1.97,0.0037
158,a_5,"[0,0037-1,0000]",0.0037,1.98,0.0037
158,~a_7,"[0,0004-0,9966]",0.0037,2.05,0.0037
160,a_3,"[0,0493-1,0000]",0.0493,3.28,0.0493
160,a_7,"[0,0490-1,0000]",0.0540,3.30,0.0493
160,~a_8,"[0,0422-1,0000]",0.0496,3.46,0.0493
163,d_13,"[0,0059-1,0000]",0.0059,1.88,0.0060
163,a_8,"[0,0044-0,9984]",0.0060,1.98,0.0060
164,a_1,"[0,0080-1,0000]",0.0088,0.61,0.0109
164,~a_5,"[0,0075-1,0000]",0.0084,0.62,0.0109
165,a_8,"[0,0045-1,0000]",0.0049,2.25,0.0046
165,a_7,"[0,0042-0,9996]",0.0052,2.37,0.0046
166,~a_3,"[0,0426-1,0000]",0.0426,2.04,0.0426
166,a_6,"[0,0423-1,0000]",0.0446,2.03,0.0426
166,~a_8,"[0,0000-0,9575]",0.0454,2.17,0.0426
167,d_14,"[0,0029-1,0000]",0.0029,2.59,0.0029
167,~a_7,"[0,0028-0,9999]",0.0029,2.68,0.0029
167,a_8,"[0,0018-0,9989]",0.0029,2.66,0.0029
168,~d_13,"[0,0021-1,0000]",0.0021,2.53,0.0021
168,a_7,"[0,0007-0,9991]",0.0017,2.65,0.0021
169,d_9,"[0,0093-1,0000]",0.0093,1.35,0.0093
169,a_8,"[0,0033-1,0000]",0.0039,1.36,0.0093
169,~a_7,"[0,0039-1,0000]",0.0039,1.39,0.0093
170,d_15,"[0,0144-1,0000]",0.0144,2.07,0.0144
170,a_8,"[0,0007-0,9864]",0.0144,2.16,0.0144
171,a_2,"[0,0162-1,0000]",0.0162,2.71,0.0162
171,a_8,"[0,0162-1,0000]",0.0162,2.72,0.0162
172,~a_3,"[0,0011-1,0000]",0.0011,2.46,0.0011
172,a_7,"[0,0011-1,0000]",0.0011,2.59,0.0011
172,~a_7,"[0,0000-0,9989]",0.0011,2.53,0.0011
173,a_3,"[0,0380-1,0000]",0.0380,0.92,0.0380
174,~d_19,"[0,0627-1,0000]",0.0627,3.02,0.0627
174,a_8,"[0,0007-0,9380]",0.0627,3.36,0.0627
175,a_4,"[0,0128-1,0000]",0.0128,2.62,0.0128
175,a_5,"[0,0128-1,0000]",0.0128,2.59,0.0128
175,a_7,"[0,0124-0,9996]",0.0128,2.65,0.0128
176,d_15,"[0,0650-1,0000]",0.0650,2.71,0.0650
177,d_11,"[0,0516-1,0000]",0.0516,1.32,0.0516
177,~a_6,"[0,0516-1,0000]",0.0516,1.32,0.0516
177,a_7,"[0,0516-1,0000]",0.0516,1.39,0.0516
179,a_4,"[0,0170-1,0000]",0.0170,2.05,0.0170
179,a_5,"[0,0170-1,0000]",0.0170,2.05,0.0170
180,d_15,"[0,0745-1,0000]",0.0745,1.54,0.0745
180,a_7,"[0,0721-1,0000]",0.0798,1.57,0.0745
181,d_11,"[0,4546-1,0000]",0.5496,1.22,0.4552
181,~a_8,"[0,0008-0,5456]",0.4552,1.27,0.4552
182,d_9,"[0,0039-1,0000]",0.0039,1.17,0.0039
182,a_5,"[0,0039-1,0000]",0.0039,1.18,0.0039
182,~a_8,"[0,0000-0,9966]",0.0037,1.26,0.0039
184,~d_9,"[0,0361-1,0000]",0.0361,0.62,0.0361
184,a_6,"[0,0361-1,0000]",0.0361,0.62,0.0361
184,a_8,"[0,0361-1,0000]",0.0361,0.63,0.0361
185,~a_7,"[0,0000-0,4355]",0.5846,2.17,0.5646
186,d_17,"[0,0070-1,0000]",0.0071,2.72,0.0070
187,d_17,"[0,0084-1,0000]",0.0084,2.33,0.0084
188,d_11,"[0,0004-1,0000]",0.0004,1.88,0.0004
188,~a_8,"[0,0004-1,0000]",0.0004,2.09,0.0004
188,a_8,"[0,0000-0,9996]",0.0004,2.18,0.0004
189,a_8,"[0,0000-0,9581]",0.0419,1.30,0.0419
190,d_13,"[0,0317-1,0000]",0.0403,2.30,0.0790
191,~d_13,"[0,0053-1,0000]",0.0053,2.95,0.0053
191,a_6,"[0,0050-1,0000]",0.0053,2.95,0.0053
191,~a_7,"[0,0046-0,9993]",0.0053,3.06,0.0053
192,a_8,"[0,0436-1,0000]",0.0436,2.82,0.0436
192,~a_7,"[0,0436-1,0000]",0.0436,2.90,0.0436
193,d_12,"[0,0000-1,0000]",0.0001,3.02,0.0041
193,a_7,"[0,0039-0,9998]",0.0041,3.14,0.0041
194,d_13,"[0,0532-1,0000]",0.0532,1.32,0.0532
194,a_5,"[0,0532-1,0000]",0.0532,1.33,0.0532
194,a_7,"[0,0532-1,0000]",0.0532,1.35,0.0532
196,a_6,"[0,0005-1,0000]",0.0006,0.80,0.0069
196,a_7,"[0,0005-1,0000]",0.0006,0.82,0.0069
197,a_3,"[0,0058-1,0000]",0.0058,2.26,0.0058
197,a_6,"[0,0058-1,0000]",0.0058,2.29,0.0058
197,~a_7,"[0,0000-0,9942]",0.0058,2.71,0.0058
198,d_12,"[0,0107-1,0000]",0.0107,1.47,0.0107
198,~a_5,"[0,0107-1,0000]",0.0107,1.49,0.0107
198,a_8,"[0,0000-0,9893]",0.0107,1.54,0.0107
199,d_14,"[0,0486-1,0000]",0.0486,1.98,0.0486
199,a_7,"[0,0486-1,0000]",0.0487,1.99,0.0486
199,~a_7,"[0,0000-0,9514]",0.0487,1.99,0.0486
200,~a_1,"[0,0349-1,0000]",0.0353,1.93,0.0350
200,a_7,"[0,0348-0,9998]",0.0350,2.09,0.0350
201,d_13,"[0,0084-1,0000]",0.0084,2.38,0.0084
201,a_7,"[0,0083-1,0000]",0.0084,2.53,0.0084
201,a_9,"[0,0000-0,9916]",0.0084,2.66,0.0084
202,d_10,"[0,0834-1,0000]",0.0834,0.48,0.0834
202,a_8,"[0,0834-1,0000]",0.0834,0.48,0.0834
204,a_1,"[0,0583-1,0000]",0.0583,2.69,0.0583
204,a_7,"[0,0583-1,0000]",0.0583,2.79,0.0583
205,~d_17,"[0,6462-1,0000]",0.6468,2.00,0.6463
205,a_7,"[0,0065-0,3602]",0.6463,2.21,0.6463
206,a_1,"[0,0563-1,0000]",0.0605,2.15,0.0564
206,~a_7,"[0,0528-0,9999]",0.0558,2.27,0.0564
206,~a_8,"[0,0001-0,9437]",0.0564,2.23,0.0564
207,a_7,"[0,0018-0,9972]",0.0046,1.83,0.0046
208,a_1,"[0,0006-1,0000]",0.0006,2.31,0.0019
208,a_6,"[0,0019-1,0000]",0.0019,2.33,0.0019
208,~a_8,"[0,0004-0,9985]",0.0018,2.39,0.0019
209,d_14,"[0,1118-1,0000]",0.1118,2.10,0.1118
209,a_9,"[0,0546-0,9428]",0.1118,2.23,0.1118
210,d_18,"[0,0125-1,0000]",0.0125,2.87,0.0125
211,~a_2,"[0,0047-1,0000]",0.0047,2.41,0.0047
212,d_10,"[0,0046-1,0000]",0.0046,2.18,0.0046
212,a_7,"[0,0001-0,9955]",0.0046,2.24,0.0046
213,a_4,"[0,0012-1,0000]",0.0014,2.38,0.0277
213,a_7,"[0,0277-1,0000]",0.0277,2.47,0.0277
213,a_8,"[0,0000-0,9723]",0.0277,2.46,0.0277
214,a_0,"[0,0067-1,0000]",0.0067,1.96,0.0067
214,~a_7,"[0,0039-0,9972]",0.0067,2.06,0.0067
215,~a_2,"[0,0034-1,0000]",0.0034,2.52,0.0034
215,~a_7,"[0,0021-1,0000]",0.0025,2.57,0.0034
215,~a_8,"[0,0024-0,9990]",0.0034,2.66,0.0034
216,d_11,"[0,0069-1,0000]",0.0069,2.70,0.0069
216,~a_8,"[0,0069-1,0000]",0.0069,2.81,0.0069
217,a_5,"[0,0009-1,0000]",0.0011,1.58,0.0035
217,a_8,"[0,0000-0,9977]",0.0026,1.61,0.0035
218,d_19,"[0,0024-1,0000]",0.0024,1.24,0.0024
218,a_8,"[0,0024-1,0000]",0.0024,1.29,0.0024
218,~a_7,"[0,0006-1,0000]",0.0007,1.27,0.0024
219,d_15,"[0,0241-1,0000]",0.0241,2.11,0.0241
219,~a_7,"[0,0231-0,9989]",0.0241,2.43,0.0241
219,a_7,"[0,0011-0,9769]",0.0241,2.36,0.0241
220,d_12,"[0,0130-1,0000]",0.0130,3.21,0.0130
220,~a_7,"[0,0130-1,0000]",0.0130,3.29,0.0130
220,~a_8,"[0,0000-0,9986]",0.0014,3.42,0.0130
221,d_9,"[0,0061-1,0000]",0.0061,2.88,0.0061
222,~a_4,"[0,0021-1,0000]",0.0021,3.13,0.0021
222,a_7,"[0,0018-0,9998]",0.0021,3.21,0.0021
223,a_0,"[0,0100-1,0000]",0.0100,1.65,0.0100
223,~a_7,"[0,0100-1,0000]",0.0100,1.70,0.0100
223,a_7,"[0,0000-0,9900]",0.0100,1.70,0.0100
