Prog,Lit,Intervalo,Metric,Time,Mass
192,~a_7,"[0,0073-1,0000]",0.0073,1.34,0.0073
193,~a_8,"[0,0751-1,0000]",0.0751,1.92,0.0751
194,~d_14,"[0,0032-1,0000]",0.0032,0.46,0.0032
195,a_0,"[0,0155-1,0000]",0.0155,0.78,0.0155
195,a_9,"[0,0000-0,9845]",0.0161,0.81,0.0155
195,~a_9,"[0,0155-1,0000]",0.0161,0.77,0.0155
196,~a_1,"[0,0001-1,0000]",0.0001,0.70,0.0001
197,d_11,"[0,0014-1,0000]",0.0015,1.21,0.0014
197,a_5,"[0,0014-1,0000]",0.0014,1.24,0.0014
198,d_16,"[0,0000-1,0000]",0.0000,3.81,0.0000
198,a_7,"[0,0000-1,0000]",0.0000,3.93,0.0000
198,~a_8,"[0,0000-1,0000]",0.0000,4.06,0.0000
199,~a_8,"[0,0005-0,9992]",0.0014,0.68,0.0133
200,d_16,"[0,0000-1,0000]",0.0000,2.54,0.0000
200,a_7,"[0,0000-1,0000]",0.0000,2.63,0.0000
201,a_7,"[0,0000-0,9911]",0.0089,3.31,0.0090
202,~a_4,"[0,0001-1,0000]",0.0001,0.22,0.0001
203,a_4,"[1,7039-1,0000]",1.7039,0.29,1.7039
203,~a_8,"[0,0011--0,7028]",1.7039,0.28,1.7039
204,d_18,"[0,0026-1,0000]",0.0026,3.82,0.0026
204,a_6,"[0,0026-1,0000]",0.0026,3.68,0.0026
204,a_8,"[0,0000-0,9974]",0.0029,3.87,0.0026
205,~a_2,"[0,2399-1,0000]",0.2399,1.12,0.2400
205,~a_5,"[0,2400-1,0000]",0.2513,1.11,0.2400
205,a_9,"[0,1189-0,8789]",0.2513,1.14,0.2400
206,~d_9,"[0,0008-1,0000]",0.0008,0.89,0.0008
206,a_5,"[0,0008-1,0000]",0.0008,0.87,0.0008
206,~a_8,"[0,0007-1,0000]",0.0008,0.91,0.0008
207,d_12,"[0,0974-1,0000]",0.0974,0.47,0.0974
208,d_13,"[0,0005-1,0000]",0.0005,1.28,0.0010
208,a_8,"[0,0010-1,0000]",0.0010,1.21,0.0010
208,a_7,"[0,0010-1,0000]",0.0010,1.35,0.0010
209,a_2,"[0,0007-1,0000]",0.0007,0.47,0.0007
209,a_9,"[0,0000-0,9993]",0.0007,0.53,0.0007
211,a_6,"[0,0732-1,0000]",0.0749,1.31,0.0745
211,~a_7,"[0,0000-0,9265]",0.0776,1.41,0.0745
212,a_1,"[0,0610-1,0000]",0.0610,0.56,0.0610
212,a_7,"[0,0610-1,0000]",0.0615,0.52,0.0610
213,~a_2,"[0,0003-1,0000]",0.0003,0.99,0.0003
213,a_5,"[0,0003-1,0000]",0.0003,0.98,0.0003
213,~a_7,"[0,0000-0,9999]",0.0001,1.11,0.0003
214,~a_8,"[0,0001-1,0000]",0.0001,1.88,0.0001
214,a_5,"[0,0001-1,0000]",0.0001,1.83,0.0001
214,a_9,"[0,0000-0,9999]",0.0001,1.94,0.0001
216,~a_7,"[0,0000-0,9989]",0.0011,1.09,0.0020
217,d_13,"[0,0015-1,0000]",0.0016,1.18,0.0015
217,a_8,"[0,0013-0,9998]",0.0015,1.18,0.0015
217,a_9,"[0,0015-1,0000]",0.0015,1.18,0.0015
218,d_9,"[0,0108-1,0000]",0.0108,1.43,0.0108
218,a_6,"[0,0105-1,0000]",0.0126,1.48,0.0108
218,~a_8,"[0,0102-0,9993]",0.0116,1.55,0.0108
219,a_5,"[0,0002-1,0000]",0.0002,0.67,0.0002
219,~a_8,"[0,0000-0,9998]",0.0002,0.66,0.0002
220,d_15,"[0,0000-1,0000]",0.0000,3.11,0.0000
220,a_8,"[0,0000-1,0000]",0.0000,3.09,0.0000
220,a_7,"[0,0000-1,0000]",0.0000,3.21,0.0000
221,d_9,"[0,0002-1,0000]",0.0002,1.71,0.0002
221,~a_8,"[0,0002-1,0000]",0.0002,1.73,0.0002
222,~d_16,"[0,0002-1,0000]",0.0002,0.83,0.0002
222,~a_8,"[0,0000-0,9998]",0.0002,0.87,0.0002
223,~a_2,"[0,0013-1,0000]",0.0013,0.55,0.0013
224,a_6,"[0,0000-1,0000]",0.0000,0.00,0.0000
224,a_7,"[0,0000-1,0000]",0.0000,0.00,0.0000
225,d_17,"[1,1027-1,0000]",1.1027,1.53,1.1027
225,a_6,"[1,1027-1,0000]",1.1117,1.42,1.1027
225,a_7,"[1,1022-0,9995]",1.1376,1.55,1.1027
226,~a_2,"[0,0062-1,0000]",0.0063,4.54,0.0062
226,a_5,"[0,0062-1,0000]",0.0062,4.56,0.0062
226,a_7,"[0,0062-1,0000]",0.0062,4.70,0.0062
227,a_7,"[0,0000-0,8812]",0.1188,2.25,0.1188
229,~d_16,"[0,0057-1,0000]",0.0057,1.55,0.0057
229,a_8,"[0,0057-1,0000]",0.0065,1.56,0.0057
229,~a_7,"[0,0004-0,9948]",0.0057,1.63,0.0057
230,d_14,"[0,0013-1,0000]",0.0013,3.50,0.0013
231,d_10,"[0,0010-1,0000]",0.0011,2.89,0.0016
231,~a_9,"[0,0004-1,0000]",0.0005,2.95,0.0016
232,a_4,"[0,0024-1,0000]",0.0024,2.39,0.0024
233,d_17,"[1,3262-1,0000]",1.3527,1.72,1.3263
233,a_7,"[1,3263-1,0000]",1.3263,1.80,1.3263
234,~d_15,"[0,0994-1,0000]",0.0994,0.52,0.0994
234,~a_6,"[0,0000-1,0000]",0.0000,0.52,0.0994
235,d_11,"[0,0020-1,0000]",0.0020,1.15,0.0020
